,value
882,2.486
883,2.512
884,2.488
885,2.519
886,2.493
887,2.536
888,2.490
889,2.531
890,2.488
891,2.606
892,2.537
893,2.539
894,2.494
895,2.527
896,2.484
897,2.528
898,2.497
899,2.558
900,2.503
901,2.660
902,2.723
903,2.739
904,2.676
905,2.691
906,2.637
907,2.663
908,2.619
909,2.641
910,2.588
911,2.674
912,2.593
913,2.612
914,2.589
915,2.608
916,2.555
917,2.626
918,2.571
919,2.598
920,2.544
921,2.673
922,2.594
923,2.579
924,2.534
925,2.570
926,2.539
927,2.573
928,2.542
929,2.578
930,2.506
931,2.612
932,2.579
933,2.558
934,2.530
935,2.567
936,2.521
937,2.563
938,2.540
939,2.553
940,2.518
941,2.626
942,2.532
943,2.550
944,2.509
945,2.554
946,2.521
947,2.593
948,2.523
949,2.566
950,2.528
951,2.627
952,2.550
953,2.567
954,2.530
955,2.578
956,2.549
957,2.554
958,2.510
959,2.541
960,2.493
961,2.603
962,2.560
963,2.554
964,2.523
965,2.548
966,2.511
967,2.564
968,2.535
969,2.559
970,2.523
971,2.627
972,2.559
973,2.561
974,2.531
975,2.560
976,2.530
977,2.573
978,2.529
979,2.561
980,2.529
981,2.614
982,2.546
983,2.547
984,2.526
985,2.551
986,2.506
987,2.541
988,2.503
989,2.530
990,2.469
991,2.567
992,2.526
993,2.517
994,2.485
995,2.523
996,2.480
997,2.511
998,2.473
999,2.511
1000,2.477
1001,2.563
1002,2.493
1003,2.509
1004,2.484
1005,2.510
1006,2.479
1007,2.523
1008,2.476
1009,2.509
1010,2.462
1011,2.542
1012,2.480
1013,2.479
1014,2.440
1015,2.466
1016,2.428
1017,2.455
1018,2.420
1019,2.443
1020,2.418
1021,2.501
1022,2.445
1023,2.445
1024,2.409
1025,2.444
1026,2.405
1027,2.444
1028,2.398
1029,2.426
1030,2.392
1031,2.486
1032,2.411
1033,2.412
1034,2.372
1035,2.398
1036,2.377
1037,2.410
1038,2.358
1039,2.401
1040,2.349
1041,2.429
1042,2.365
1043,2.366
1044,2.336
1045,2.370
1046,2.324
1047,2.362
1048,2.320
1049,2.345
1050,2.294
1051,2.366
1052,2.306
1053,2.283
1054,2.250
1055,2.293
1056,2.248
1057,2.278
1058,2.235
1059,2.272
1060,2.239
1061,2.335
1062,2.267
1063,2.282
1064,2.259
1065,2.290
1066,2.249
1067,2.293
1068,2.256
1069,2.286
1070,2.240
1071,2.325
1072,2.253
1073,2.248
1074,2.213
1075,2.234
1076,2.193
1077,2.221
1078,2.178
1079,2.209
1080,2.165
1081,2.262
1082,2.185
1083,2.173
1084,2.132
1085,2.162
1086,2.115
1087,2.149
1088,2.106
1089,2.144
1090,2.100
1091,2.188
1092,2.112
1093,2.145
1094,2.113
1095,2.138
1096,2.100
1097,2.138
1098,2.092
1099,2.121
1100,2.080
1101,2.167
1102,2.090
1103,2.113
1104,2.066
1105,2.092
1106,2.053
1107,2.084
1108,2.036
1109,2.071
1110,2.021
1111,2.100
1112,2.035
1113,2.021
1114,1.975
1115,2.001
1116,1.968
1117,1.995
1118,1.953
1119,1.978
1120,1.946
1121,2.034
1122,1.959
1123,1.975
1124,1.941
1125,1.974
1126,1.936
1127,1.975
1128,1.927
1129,1.956
1130,1.913
1131,2.005
1132,1.933
1133,1.940
1134,1.896
1135,1.928
1136,1.885
1137,1.919
1138,1.870
1139,1.895
1140,1.856
1141,1.931
1142,1.872
1143,1.876
1144,1.834
1145,1.864
1146,1.833
1147,1.876
1148,1.834
1149,1.865
1150,1.826
1151,1.920
1152,1.852
1153,1.858
1154,1.821
1155,1.852
1156,1.810
1157,1.851
1158,1.798
1159,1.831
1160,1.792
1161,1.877
1162,1.803
1163,1.815
1164,1.777
1165,1.807
1166,1.770
1167,1.800
1168,1.761
1169,1.787
1170,1.737
1171,1.823
1172,1.767
1173,1.757
1174,1.713
1175,1.744
1176,1.704
1177,1.736
1178,1.695
1179,1.732
1180,1.688
1181,1.780
1182,1.704
1183,1.726
1184,1.690
1185,1.718
1186,1.685
1187,1.722
1188,1.679
1189,1.711
1190,1.669
1191,1.762
1192,1.687
1193,1.697
1194,1.656
1195,1.687
1196,1.653
1197,1.682
1198,1.640
1199,1.669
1200,1.627
1201,1.752
1202,1.695
1203,1.694
1204,1.658
1205,1.697
